Timestamp,1. What is your age?,2. What is your gender?,3. How long have you worked in the quantity surveying field?,4. What digital tools or software do you currently use in your role as a quantity surveyor? (Select all that apply),"5. On a scale of 1-5 with 1 being the lowest and 5 the highest, how would you rate the level of adoption of digital technologies in your organization? ",6. What do you see as the main benefits of adopting digital technologies as a quantity surveyor? (Select top 3),7. Has the use of digital technologies changed how you carry out traditional quantity surveying tasks like take-offs and cost estimation?,"8. If yes, in what ways has it changed these tasks?","9. On a scale of 1-5 with 1 being the lowest and 5 the highest, how much has digital technology improved the accuracy of quantity take-offs and estimations? ","10. On a scale of 1-5 with 1 being the lowest and 5 the highest, how much has digital technology improved the efficiency of quantity take-offs and estimations?
",11. How has the use of digital technologies impacted your collaboration with other project stakeholders like architects and engineers?,12. What do you see as the main challenges or barriers to adopting digital technologies as a quantity surveyor? (Select top 3),13. How much training have you received on using digital tools and technologies?,"14. On a scale of 1-5 with 1 being the lowest and 5 the highest, how would you rate the quality and effectiveness of training provided on digital technologies? ",15. What additional training on digital technologies would be most helpful?,"16. On a scale of 1-5 with 1 being the lowest and 5 the highest, how receptive are your colleagues to adopting new digital technologies? ",17. What could help improve adoption of digital technologies among quantity surveying professionals?,18. How could software vendors and developers improve digital tools for quantity surveying?,19. Do you think digital technologies improve the quality of services provided by quantity surveyors?,20. Do you think clients recognize the benefits of digital technologies used by quantity surveyors?,"21. On a scale of 1-5 with 1 being the lowest and 5 the highest, how significant is the cost of implementing digital technologies for your organization? ",22. Do you think digital technologies provide competitive advantage compared to firms using traditional methods?,23. What future developments in digital technology seem most promising for quantity surveying?
2023/11/20 11:09:16 AM GMT+8,30-39,Female,Less than 5 years,Digital takeoff software,4,Improved efficiency;Enhanced accuracy;Better collaboration;Access to real-time data;Ability to provide additional services;Increased competitiveness,Yes,Made tasks faster,4,4,Improved collaboration,Cost of software/hardware;Lack of technical skills;Interoperability issues,Minimal,3,Technical troubleshooting,4,Adequate training,Increased compatibility between platforms,Yes,Yes,5,Yes,BIM advancement
2023/11/20 11:12:05 AM GMT+8,30-39,Female,5-10 years,Digital takeoff software,4,Improved efficiency;Enhanced accuracy;Better collaboration,Yes,Improved accuracy,4,4,Improved collaboration,Cost of software/hardware;Lack of technical skills;Resistance to change,Minimal,4,Software specific training,3,Adequate training,Increased compatibility between platforms,Yes,Yes,4,Yes,AI and machine learning
2023/11/20 11:13:46 AM GMT+8,30-39,Male,5-10 years,CAD software,2,Improved efficiency;Enhanced accuracy;Better collaboration;Access to real-time data,Yes,Improved accuracy,4,4,No impact on collaboration,Cost of software/hardware;Lack of technical skills,Minimal,3,Software specific training,3,Adequate training,Increased compatibility between platforms,Yes,No,3,No,AI and machine learning
2023/11/20 11:17:28 AM GMT+8,30-39,Female,5-10 years,Project management software,3,Improved efficiency;Enhanced accuracy;Access to real-time data,Yes,Improved accuracy,3,3,No impact on collaboration,Cost of software/hardware;Lack of technical skills;Resistance to change,Minimal,2,Interoperability between systems,2,Improved change management,Lower pricing,Not sure,No,2,Not sure,Data analytics
2023/11/20 11:17:48 AM GMT+8,30-39,Female,5-10 years,CAD software;BIM software,4,Improved efficiency,Yes,Made tasks more complex,4,4,Improved collaboration,Cost of software/hardware;Lack of technical skills;Legacy systems and processes,None,4,Software specific training,3,Demonstrating competitive benefits,Increased compatibility between platforms,Yes,Yes,3,Yes,BIM advancement
2023/11/20 11:18:43 AM GMT+8,40-49,Male,10-20 years,Digital takeoff software;Other (please specify),4,Improved efficiency;Enhanced accuracy;Better collaboration,Yes,Improved accuracy,5,5,Made collaboration more difficult,Cost of software/hardware;Lack of technical skills;Resistance to change,Minimal,3,Digital workflows and processes,2,Improved change management,Ongoing training/support,Yes,No,5,Not sure,Data analytics
2023/11/20 11:20:18 AM GMT+8,30-39,Male,5-10 years,Digital takeoff software,3,Improved efficiency;Enhanced accuracy;Better collaboration,Yes,Improved accuracy,4,4,Improved collaboration,Cost of software/hardware;Lack of technical skills;Resistance to change,Moderate,3,Software specific training,4,Adequate training,Ongoing training/support,Yes,No,3,Yes,BIM advancement
2023/11/20 11:30:16 AM GMT+8,30-39,Male,5-10 years,Other (please specify),2,Improved efficiency;Enhanced accuracy;Better collaboration,Yes,Improved accuracy,4,4,Improved collaboration,Cost of software/hardware;Lack of technical skills;Resistance to change,Minimal,4,Software specific training,3,Improved change management,Lower pricing,Yes,No,4,Yes,Data analytics
2023/11/20 11:41:17 AM GMT+8,40-49,Male,10-20 years,Digital takeoff software,2,Improved efficiency;Enhanced accuracy;Access to real-time data,Yes,Enabled remote working,3,3,Made collaboration more difficult,Lack of technical skills;Legacy systems and processes;Resistance to change,Minimal,2,Software specific training,2,Adequate training,Industry-specific features,Yes,No,2,Yes,Virtual/augmented reality
2023/11/20 12:13:28 PM GMT+8,30-39,Male,Less than 5 years,CAD software,5,Improved efficiency;Enhanced accuracy;Better collaboration;Increased competitiveness,Yes,Enabled remote working,4,4,Improved collaboration,Cost of software/hardware;Lack of technical skills;Legacy systems and processes;Resistance to change;Concerns over data security;Interoperability issues,Moderate,4,Software specific training,4,Adequate training,Increased compatibility between platforms,Yes,Yes,4,Yes,Data analytics
